country,year,total aviation passenger,total aviation freight,total domestic aviation passenger,total international aviation passenger,total domestic aviation freight,total international aviation freight,total domestic aviation,total international aviation,total domestic navigation,total international navigation
AL,2021,0.9067851549500465,0.09321484504995341,0.041635787523282314,0.8651493674267642,0.0038167462231217496,0.08939809882683164,0.04545253374640407,0.9545474662535957,0.540431579557979,0.459568420442021
AT,1990,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,1991,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,1992,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,1993,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,1994,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,1995,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,1996,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,1997,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,1998,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,1999,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,2000,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,2001,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,2002,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,2003,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,2004,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,2005,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,2006,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,2007,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,2008,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,2009,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,2010,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,2011,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,2012,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,2013,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,2014,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,2015,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,2016,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,2017,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,2018,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,2019,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,2020,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
AT,2021,0.965233993660123,0.03476600633987698,0.026183255300174364,0.9390557445633997,0.011195250130495299,0.023570756209381684,0.03737850543066966,0.9626265005110876,0.7473269478969541,0.2526730521030459
BA,1990,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
BA,1991,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
BA,1992,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
BA,1993,0.9063450500850775,0.09365494991492249,0.0,0.9063450500850775,0.0,0.09365494991492249,0.0,1.0,0.27836097606906335,0.7216390239309367
